Price,Area,Location,No. of Bedrooms,Is_New,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,Price per sq ft.,Total Amenities
16000000,1750,Kharghar,3,Old,0,1,1,1,1,0,0,1,0,0,1,0,0,"9,143",6
22000000,1590,Kharghar,3,Old,1,1,1,1,1,1,1,1,0,1,0,1,1,"13,836",11
11000000,1415,Kharghar,3,Old,1,1,1,1,1,1,1,1,1,1,0,1,1,"7,774",12
16600000,1650,Kharghar,3,Old,1,1,1,1,1,0,1,1,0,0,1,1,1,"10,061",10
14000000,1687,Kharghar,3,Old,1,1,1,1,1,1,1,1,1,1,1,1,1,"8,299",13
8500000,1150,Kharghar,2,Old,1,1,1,1,1,1,1,1,0,1,0,1,1,"7,391",11
6000000,555,Kharghar,1,Old,0,1,1,1,1,0,0,0,0,0,0,0,0,"10,811",4
4900000,600,Kharghar,1,Old,0,1,1,1,1,1,1,1,1,0,1,1,0,"8,167",10
4200000,646,Kharghar,1,Old,0,1,1,1,1,0,0,0,0,0,0,0,0,"6,502",4
4500000,650,Kharghar,1,Old,0,1,1,1,1,0,0,0,0,0,0,0,0,"6,923",4
4300000,640,Kharghar,1,Old,1,1,1,1,1,0,1,1,0,0,0,1,1,"6,719",9
5500000,650,Kharghar,1,Old,0,1,1,1,1,0,0,1,1,0,1,0,0,"8,462",7
13500000,1400,Kharghar,3,Old,1,1,1,1,1,1,1,1,0,0,1,1,1,"9,643",11
15000000,1780,Kharghar,3,Old,1,1,1,1,1,0,1,1,0,0,0,1,1,"8,427",9
14000000,1687,Kharghar,3,Old,1,1,1,1,1,1,1,0,1,1,1,1,1,"8,299",12
6900000,1100,Kharghar,2,Old,0,1,1,1,1,0,0,1,1,0,0,0,0,"6,273",6
8300000,1050,Kharghar,2,Old,1,1,1,1,1,1,1,1,1,1,0,1,1,"7,905",12
9000000,1160,Kharghar,2,Old,1,1,1,1,1,0,1,1,1,0,0,1,1,"7,759",10
5100000,700,Kharghar,1,Old,0,1,1,1,1,0,0,1,1,0,1,0,0,"7,286",7
5200000,625,Kharghar,1,Old,1,1,1,1,1,1,1,1,0,0,0,0,1,"8,320",9
5500000,670,Kharghar,1,Old,1,1,1,1,1,0,1,1,1,0,0,1,1,"8,209",10
5500000,550,Kharghar,1,Old,1,1,1,1,1,1,1,1,0,0,0,1,1,"10,000",10
5400000,650,Kharghar,1,Old,0,1,1,1,1,0,0,1,0,0,0,0,0,"8,308",5
5300000,660,Kharghar,1,Old,1,1,1,1,1,1,1,1,1,0,0,1,1,"8,030",11
5500000,550,Kharghar,1,Old,1,1,1,1,1,1,1,0,0,0,1,1,1,"10,000",10
5000000,570,Kharghar,1,Old,0,1,1,1,1,0,0,1,0,0,0,0,0,"8,772",5
14000000,1550,Kharghar,3,Old,1,1,1,1,1,1,1,1,1,1,0,1,1,"9,032",12
17100000,1760,Kharghar,3,Old,1,1,1,1,1,1,1,0,0,0,0,1,1,"9,716",9
11800000,1475,Kharghar,3,Old,1,1,1,1,1,1,1,1,1,1,0,1,1,"8,000",12
6000000,759,Kharghar,1,Old,1,1,1,1,1,1,1,1,1,0,0,1,1,"7,905",11
4850000,600,Kharghar,1,Old,0,1,1,1,1,1,1,1,1,0,1,1,0,"8,083",10
4500000,550,Kharghar,1,Old,0,1,1,1,1,0,0,0,1,0,0,0,0,"8,182",5
4100000,620,Kharghar,1,Old,1,1,1,1,1,0,0,1,0,0,0,0,1,"6,613",7
5000000,550,Kharghar,1,Old,0,1,1,1,1,0,0,1,0,0,0,0,0,"9,091",5
5500000,745,Kharghar,1,Old,0,1,1,1,1,1,0,1,1,0,0,1,0,"7,383",8
4500000,580,Kharghar,1,Old,0,0,1,1,1,0,0,0,0,0,0,0,0,"7,759",3
5300000,670,Kharghar,1,Old,1,1,1,1,1,0,1,0,1,0,1,1,1,"7,910",10
19000000,1845,Kharghar,3,Old,1,1,1,1,1,1,1,1,1,0,0,1,1,"10,298",11
13500000,1400,Kharghar,3,Old,1,1,1,1,1,1,1,1,0,0,0,1,1,"9,643",10
13600000,1680,Kharghar,3,Old,1,1,1,1,1,1,1,1,1,1,1,1,1,"8,095",13
15500000,1645,Kharghar,3,Old,1,1,1,1,1,0,1,1,0,0,1,1,1,"9,422",10
